American Can Company	Fourteenth street and Ninth avenue	New York	NY
American Car and Foundry Company	25 Broad street	New York	NY
American Caramel Company		Lancaster	PA
American Chemical Manufacturing and Mining Company	12 Jay street	Rochester	NY
American Circular Loom Company	Highland and Suffolk streets	Chelsea	MA
American Crude Oil Burner Company	308 Mission street	San Francisco	CA
American Cutlery Company	169-197 Mather street	Chicago	IL
American Diamond Rock Drill Company	95 Liberty street	New York	NY
American Dyewood Company	648 Bourse building	Philadelphia	PA
American Electric Telephone Company. Sixty-fourth and State streets		Chicago	IL
American Enameled Brick and Tile Company	1 Madison avenue	New York	NY
American Encaustic Tiling Company Ltd	1123 Broadway	New York	NY
American Filter Company	133 Michigan street	Milwaukee	WI
American Glue Company	121 Beverly street	Boston	MA
American Hair Cloth Company		Pawtucket	RI
American Hard Rubber Company	11 Mercer street	New York	NY
American Hoist and Derrick Company	63 S. Robert street	St Paul	MN
American Hominy Company		Indianapolis	IN
American Horse Shoe Company		Phillipsburg	NJ
American Injector Company	305 Congress street West	Detroit	MI
American Iron and Steel Manufacturing Company		Lebanon	PA
American Lady Corset Company	290-298 Fort street West	Detroit	MI
American Lithographic Company	52 East Nineteenth street	New York	NY
American Locomotive Company	111 Broadway	New York	NY
American Oak Leather Company		Cincinnati	OH
American Optical Company		Southbridge	MA
American Radiator Company	282-284 Michigan avenue	Chicago	IL
American Seeding Machine Company		Springfield	OH
American Sheet and Tin Plate Company	Frick building	Pittsburg	PA
American Ship Windlass Company	Waterman and East River streets	Providence	RI
American Spinning Company		Greenville	SC
American Steam Gauge and Valve Manufacturing Company	208 Camden street	Boston	MA
American Steam Pump Company		Battle Creek	MI
American Steel and Wire Company	Frick building	Pittsburg	PA
American Stove Company of N. J.		St Louis	MO
American Tag Company	State and Sixty-first streets	Chicago	IL
American Tool and Machine Company	109 Beach street	Boston	MA
American Type Founders' Company	300 Communipaw avenue	Jersey City	NJ
American Wood Board Company		Schuylerville	NY
American Wood Working Machinery Company	136 Liberty street	New York	NY
American Woolen Company	Ames building	Boston	MA
American Writing Paper Company		Holyoke	MA
Ames & Harris Inc	100 Sacramento street	San Francisco	CA
Ames Shovel and Tool Company	90 Ames building	Boston	MA
Amoskeag Manufacturing Company	Ames building	Boston	MA
Anchor Stove and Range Company Inc	728-730 West Main street	Louisville	KY
Anheuser-Busch Brewing Association	Ninth and Pestalozzi streets	St Louis	MO
Anniston Cordage Company		Anniston	AL
Anthony Ittner Brick Company	503 Odd Fellows' building	St Louis	MO
Antoine Chiris	18 Platt street	New York	NY
Arawana Mills		Middletown	CT
Arcade Manufacturing Company		Freeport	IL
Arkell & Smiths		Canajoharie	NY
Arkwright Mills		Fall River	MA
Armour & Company	205 La Salle street	Chicago	IL
Armstrong & Graham	128-132 Jefferson avenue	Detroit	MI
Armstrong Cork Company	Farmers' Bank building	Pittsburg	PA
Art Bedstead Company	Thirty-seventh and Rockwell streets	Chicago	IL
Arthur J. O'Leary & Son Company	Lake and Des Plaines streets	Chicago	IL
Ashtabula Hide and Leather Company		Ashtabula	OH
Aspinwall Manufacturing Company		Jackson	MI
Astoria Silk Works		Long Island City	NY
Atlanta Steel Hoop Company	Equitable building	Atlanta	GA
Atlantic Cotton Mills	87 Milk street	Boston	MA
Atlantic Terra Cotta Company	287 Fourth avenue	New York	NY
Atlantic Works	Maverick and New streets	East Boston	MA
Atlas Engine Works	Nineteenth street and Martindale avenue	Indianapolis	IN
Atlas Lumber and Shingle Company	911-914 Alaska building	Seattle	WA
Atlas Portland Cement Company	30 Broad street	New York	NY
Atwood & McManus	Vale and Carter streets	Chelsea	MA
Atwood Brothers		East Whitman	MA
Auburn Button Works		Auburn	NY
Aug. Goertz & Company	278 Morris avenue	Newark	NJ
August Kern Barber Supply Company	2201 Chestnut street	St Louis	MO
August Mietz	128-138 Mott street	New York	NY
Aurora Cotton Mills		Burlington	NC
Austin Powder Company	906 Society for Savings building	Cleveland	OH
Avalon Knitwear Company	corner Broad and Mohawk streets	Utica	NY
Axelson Machine Company	1406 San Fernando street	Los Angeles	CA
Ayer Houston & Company		Portland	ME
B. A. Ballou & Company	61 Peck street	Providence	RI
B. Bailey & Sons Inc		Patchogue	NY
B. D. Rising Paper Company		Housatonic	MA
B. E. Cole & Company	190 Lincoln street	Boston	MA
B. F. Barnes Company		Rockford	IL
B. F. Sturtevant Company. General office and works		Hyde Park	MA
B. Fischer & Company	393 Greenwich street	New York	NY
B. Rosenberg & Sons	215-221 Decatur street	New Orleans	LA
Baeder Adamson & Company	210 Chestnut street	Philadelphia	PA
Baird Machinery Company Inc	123 Water street	Pittsburg	PA
Baker Iron Works		Los Angeles	CA
Baker-Vawter Company	Tribune building	Chicago	IL
Balbach Smelting and Refining Company	73 Passaic avenue	Newark	NJ
Baldwin Locomotive Works	500 North Broad street	Philadelphia	PA
Ball Brothers Glass Manufacturing Company		Muncie	IN
Ballard & Ballard Company	910 East Broadway	Louisville	KY
Baltimore Bridge Company	Bush street	Baltimore	MD
Banner Rubber Company	Bittner and Kenrick streets	St Louis	MO
Barber-Colman Company		Rockford	IL
Barbour Stockwell Company	205 Broadway	Cambridgeport	MA
Barker Company	B21 Produce Exchange building	New York	NY
Barnard & Leas Manufacturing Company		Moline	IL
Barnard Manufacturing Company		Spokane	WA
Barnes Smith & Company	182 Water street	Binghamton	NY
Barnet Leather Company	27 Spruce street	New York	NY
Barnhart Bros. & Spindler	183 Monroe street	Chicago	IL
Barrett Manufacturing Company	17 Battery place	New York	NY
Bartels Thelen & Company	Lincoln street	Boston	MA
Bartlett & Company	43 Collier street	Binghamton	NY
Bartlett Hayward & Company	Scott and Pratt streets	Baltimore	MD
Bass-Hueter Paint Company	816 Mission street	San Francisco	CA
Bateman Manufacturing Company		Grenloch	NJ
Bates Machine Company		Joliet	IL
Battle Creek Breakfast Food Company Ltd	Front street	Quincy	IL
Bausch & Lomb Optical Company		Rochester	NY
Baush Machine Tool Company	100 Wason avenue	Springfield	MA
Bay State Belting Company	119 Franklin street	Boston	MA
Becker-Brainard Milling Machine Company	110 Business street	Hyde Park	MA
Beech-Nut Packing Company		Canajoharie	NY
Belcher & Taylor Agricultural Tool Company		Chicopee Falls	MA
Belle City Manufacturing Company		Racine Junction	WI
Bellmark Pottery Company	New York avenue	Trenton	NJ
Beloit Iron Works		Beloit	WI
Bemis Bro. Bag Company	601 South Fourth street	St Louis	MO
Benj. WV Greer	Germantown	Philadelphia	PA
Benjamin Atha & Company	Lister avenue	Newark	NJ
Bentley & Gerwig Furniture Company		Parkersburg	WV
Berghoff Brewing Company	1025 Grant avenue	Fort Wayne	IN
Bering Manufacturing Company Inc		Houston	TX
Berkey & Gay Furniture Company		Grand Rapids	MI
Berkshire Cotton Manufacturing Company		Adams	MA
Berlin Construction Company		Berlin	CT
Bernard Gloekler Company	1127 Penn avenue	Pittsburg	PA
Bernhard Stern & Sons	Cherry and Commerce streets	Milwaukee	WI
Bernheim Distilling Company Inc		Louisville	KY
Bernstein Manufacturing Company		Philadelphia	PA
Berry Bros.	Limited	Detroit	MI
Berry Foundry and Manufacturing Company		St Joseph	MO
Berwind-White Coal Mining Company	1 Broadway	New York	NY
Bessemer Coke Company	Lewis building	Pittsburg	PA
Bessemer Limestone Company	Second National Bank building	Youngstown	OH
Bethlehem Steel Company		South Bethlehem	PA
Bettendorf Metal Wheel Company		Davenport	IA
Betts Machine Company		Wilmington	DE
Bibb Manufacturing Company		Macon	GA
Bill Bell & Company	1-2 River street	Ogdensburg	NY
Billings Clapp Company	178 Freeport street	Boston	MA
Binghamton Chair Company	Montgomery street	Binghamton	NY
Binghamton Whip Company	72-76 Sherman place	Binghamton	NY
Binner-Wells Company	309-311 Michigan avenue	Chicago	IL
Binney & Smith Company	81-83 Fulton street	New York	NY
Birdsell Manufacturing Company		South Bend	IN
Birdsey & Somers Company	349 Broadway	New York	NY
Birmingham Iron Foundry		Derby	CT
Birmingham Machine and Foundry Company		Birmingham	AL
Birnie Paper Company	Birnie avenue	tSpringfield	MA
Blackmer & Post Pipe Company	Wainwright building	St Louis	MO
Blake & Johnson	125 East Main street	Waterbury	CT
Blanchard Brother & Lane	20 Bruen street	Newark	NJ
Bless & Drake	173 New Jersey Railroad avenue	Newark	NJ
Bliss & Van Auken		Saginaw	MI
Bodley Wagon Company		Memphis	TN
Bonnet-Nance Stove Company		Chicago Heights	IL
Boomer & Boschert Press Company	329 West Water street	Syracuse	NY
Boott Mills	79 Milk street	Boston	MA
Boston and Lockport Block Company	160 Commercial street	Boston	MA
Boston Belting Company	256 Devonshire street	Boston	MA
Boston Bridge Works Inc	47 Winter street	Boston	MA
Boston Counter Company	15 Milton place	Boston	MA
Botany Worsted Mills		Passaic	NJ
Bottum & Torrance		Bennington	VT
Bousfield Wooden Ware Company		Minneapolis	MN
Bovey	De Laittre Lumber Company	Minneapolis	MN
Boyts Porter & Company		Connellsville	PA
Bradley-Ramsay Lumber Company		Lake Charles	LA
Branch Saw Company	817 North Second street	St Louis	MO
Brandegee Kincaid & Wood	28 Main street	Utica	NY
Brandon Mills		Greenville	SC
Brandon Printing Company	corner Union and Market streets	Nashville	TN
Brandt Cashier Company	Monadnock building	Chicago	IL
Brass Goods Manufacturing Company	Union and Nevins streets	Brooklyn	NY
Brecht B. S. Company	Twelfth street and Cass avenue	St Louis	MO
Brennan & White	54 Classon avenue	Brooklyn	NY
Brickner Woolen Mills Company		Sheboygan Falls	WI
Bridge & Beach Manufacturing Company	501 South First street	St Louis	MO
Bridgeport Brass Company	Postal Telegraph building Broadway and Murray street	New York	NY
Briggs & Cooper Company Limited	611-612 Bearinger building	Saginaw	MI
Brinly-Hardy Company Inc	348 East Main street	Louisville	KY
Bristol-Myers Company	277-279 Greene avenue	Brooklyn	NY
Brock & Rankin	383 La Salle street	Chicago	IL
Broderick & Bascom Rope Company	805 North Main street	St Louis	MO
Brookside Mills		Knoxville	TN
Broomell Schmidt & Steacy Company		York	PA
Brown & Bailey Company	410 Franklin street	Philadelphia	PA
Brown & Bigelow	Brown & Bigelow building	St Paul	MN
Brown & Sharpe Manufacturing Company		Providence	RI
Brown Knitting Company	Second street and Allegheny avenue	Philadelphia	PA
Brown Manufacturing Company	802 North Seventh street	Zanesville	OH
Brown Treacy & Sperry Company	Fifth and Minnesota streets	St Paul	MN
Brown-Ketcham Iron Works	2549 West Michigan street	Indianapolis	IN
Brownville Board Company		Brownville	NY
Brox & Ryall		Port Jervis	NY
Bryant Paper Company		Kalamazoo	MI
Bryden Horse Shoe Company		Catasauqua	PA
Brylgon Steel Casting Company		New Castle	DE
Buckeye Engine Company	29 Franklin avenue	Salem	OH
Buckeye Iron and Brass Works		Dayton	OH
Buckingham & Hecht	221 Bush street	San Francisco	CA
Buckwalter Stove Company		Royersford	PA
Buffalo Cement Company Ltd	Franklin street	Buffalo	NY
Buffalo Forge Company Broadway and Mortimer streets		Buffalo	NY
Buffalo Oil Paint and Varnish Company	1317 Elk street	Buffalo	NY
Buffalo Pitts Company	27 Carolina street	Buffalo	NY
Buffalo Scale Company	81 Scott street	Buffalo	NY
Buffalo Steel Company		Tonawanda	NY
Buffalo Weaving and Belting Company	234 Chandler street	Buffalo	NY
Buhl Malleable Company	Wight and Adair streets	Detroit	MI
Bulkley Dunton & Company	75 Duane street	New York	NY
Bullock Ward & Company	60-62 North Desplaines street	Chicago	IL
Burgess Sulphite Fiber Company	131 State street	Boston	MA
Burk Brothers	409 Arch street	Philadelphia	PA
Burlington Lumber Company		Burlington	IA
Burson Knitting Company		Rockford	IL
Burt Machine Company	325 North Holliday street	Baltimore	MD
Butters Lumber Company		Boardman	NC
Buxton & Skinner Stationery Company	306 North Fourth street	St Louis	MO
C. A. Hooper & Company	204 Front street	San Francisco	CA
C. A. Smith Lumber Company		Minneapolis	MN
C. A. Smith Timber Company	410 Andrus building	Minneapolis	MN
C. B. Howard Company		Emporium	PA
C. C. & E. P. Townsend Company		New Brighton	PA
C. C. Bradley & Son Inc	432 North Franklin street	Syracuse	NY
C. D. Widman & Company	443 Trombly avenue	Detroit	MI
C. Dorflinger & Sons	36 Murray street	New York	NY
C. E. Jennings & Company	42 Murray street	New York	NY
C. F. Crehore & Son	87 Milk street	Boston	MA
C. F. Rumpp & Sons	Fifth and Cherry streets	Philadelphia	PA
C. F. Wolff & Son	150 East Ohio street	Chicago	IL
C. H. Aborn Company		Lynn	MA
C. H. Brownell		Peru	IN
C. H. Campbell Furniture Company		Shelbyville	IN
C. H. Cowdrey Machine Works	5 Main street	Fitchburg	MA
C. H. Dexter & Sons		Windsor Locks	CT
C. H. Evans & Sons	Second and Mill streets	Hudson	NY
C. H. Merritt & Son		Danbury	CT
C. H. Stoelting Company	31-45 West Randolph street	Chicago	IL
C. J. Matthews & Company	417 Arch street	Philadelphia	PA
C. L. Flaccus Glass Company	Empire building	Pittsburgh	PA
C. L. Willey	1225 South Roby street	Chicago	IL
C. P. Goerz Optical Works	52 East Union square	New York	NY
C. Schmidt & Sons Brewing Company	127 Edward street	Philadelphia	PA
C. T. Ham Manufacturing Company	731 Oak street	Rochester	NY
Cadillac Motor Car Company	1343 Cass avenue	Detroit	MI
Calculagraph Company	1429 Jewelers’ building	New York	NY
California Barrel Company	Twenty-second and Illinois streets	San Francisco	CA
California Fruit Canners' Association	Pine and Battery streets	San Francisco	CA
California Glue Works	123 California street	San Francisco	CA
California Powder Works		San Francisco	CA
California Saw Works	208 Mission street	San Francisco	CA
California Wine Association	661 Third street	San Francisco	CA
Camel Company	84 Van Buren street	Chicago	IL
Camp Manufacturing Company		Franklin	VA
Campbell Knitting Mill Company		Elmira	NY
Capital Gas Engine Company (Arthur Jordan	owner)	Indianapolis	IN
Carman Manufacturing Company		Tacoma	WA
Carnegie Steel Company	Carhegie building	Pittsburg	PA
Carpenter-Lamb Company	712 Andrus building	Minneapolis	MN
Carter Howe & Company	9 Maiden Lane	New York	NY
Carter Rice & Company Inc	246 Devonshire street	Boston	MA
Cartilage Tissue Paper Mills		Carthage	NY
Carver Cotton Gin Company		East Bridgewater	MA
Cary Manufacturing Company	19-21 Roosevelt street	New York	NY
Cary Safe Company	Chicago and Scott streets	Buffalo	NY
Cascaden-Vaughan Company		Waterloo	IA
Cassidy & Son Manufacturing Company	133 West Twenty-third street	New York	NY
Castalia Portland Cement Company	209 Ninth street	Pittsburg	PA
Central Consumers' Company	420 Green street	Louisville	KY
Central Manufacturing Company	Evans street and Tennessee river	Chattanooga	TN
Central Paper Company		Muskegon	MI
Central States Bridge Company	601 Beecher street	Indianapolis	IN
Chace Mills		Fall River	MA
Chadwick Copying Book Company		Springfield	MA
Chadwick Manufacturing Company		Charlotte	NC
Chain Belt Company	Eleventh avenue and Park street	Milwaukee	WI
Chambers Bros. Company	Fifty-second and Media streets	Philadelphia	PA
Champion Paper Company		Carthage	NY
Champion Saw and Machine Company		Beaver Falls	PA
Chandler & Taylor Company	740 West Washington avenue	Indianapolis	IN
Chapman Valve Manufacturing Company		Indian Orchard	MA
Charles A. Eaton Company	157 Centre street	Brockton	MA
Charles A. Schieren Company	30-38 Ferry street	New York	NY
Charles C. Kellogg & Sons Company	68 Seneca street	Utica	NY
Charles Hellmuth	154-158 West Eighteenth street	New York	NY
Charles K. Fox		Haverhill	MA
Charles Lennig & Company Inc	112 South Front street	Philadelphia	PA
Charles Pfizer & Company Inc	81 Maiden Lane	New York	NY
Charles Schuetz & Sons		Newark	NJ
Charles WV Breneman & Company	2045 Reading road	Cincinnati	OH
Charlottesville Woolen Mills		Charlottesville	VA
Chas. Beck Paper Company	609 Chestnut Street	Philadelphia	PA
Chas. M. Higgins & Company	271 Ninth street	Brooklyn	NY
Chase-Hackley Piano Company		Muskegon	MI
Chase-Shawmut Company		Newburyport	MA
Chattanooga Brewing Company		Chattanooga	TN
Chattanooga Car and Foundry Company	401 Boyce street	Chattanooga	TN
Chattanooga Coffin and Casket Company		Chattanooga	TN
Chattanooga Furniture Company		Chattanooga	TN
Chattanooga Implement and Manufacturing Company		East Chattanooga	TN
Chattanooga Plow Company		Chattanooga	TN
Chattanooga Roofing and Foundry Company		Chattanooga	TN
Chattanooga Sewer Pipe and Fire Brick Company		Chattanooga	TN
Chautauqua Worsted Mills		Jamestown	NY
Cheney Bigelow Wire Works	Heywood and Warwick avenues	Springfield	MA
Cheney Brothers Inc		South Manchester	CT
Chess Brothers	541 Wood street	Pittsburg	PA
Chester B. Albree Iron Works Company	1117 Market street	Allegheny	PA
Chicago Belting Company	67 South Canal street	Chicago	IL
Chicago Bridge and Iron Works	One Hundred and Fifth and Throop streets	Chicago	IL
Chicago Car Heating Company	1446-1452 Railway Exchange	Chicago	IL
Chicago Flexible Shaft Company	La Salle avenue and Ontario street	Chicago	IL
Chicago Portland Cement Company	1016 Stock Exchange building	Chicago	IL
Chicago Railway Equipment Company	Fortieth street and Princeton avenue	Chicago	IL
Chicago Ship Building Company	East Side Station	Chicago	IL
Chicago Spring Butt Company	Union Park place and Carroll avenue	Chicago	IL
Chicago Varnish Company	35 Dearborn avenue	Chicago	IL
Chicago Wheel and Manufacturing Company	38 West Randolph street	Chicago	IL
Chicago-Cleveland Car Roofing Company	84 Van Buren street	Chicago	IL
Chickasaw Cooperage Company		Memphis	TN
Chickasaw Iron Works		Memphis	TN
Chicopee Manufacturing Company	70 Kilby street	Boston	MA
Christian Feigenspan Inc	42 Freeman street	Newark	NJ
Christopher Cunningham	Greenpoint avenue and Newtown creek	Brooklyn	NY
Christy Fire Clay Company	Morgan Ford road and Gravois avenue	St Louis	MO
Chrome Steel Works		Chrome	NJ
Church & Dwight Company	63 Wall street	New York	NY
Cincinnati Cooperage Company		Cincinnati	OH
Citico Furnace Company		Chattanooga	TN
Clark & Coombs Company	86 West Exchange street	Providence	RI
Clayton & Lambert Manufacturing Company		Detroit	MI
Clayton Brothers	127 Duane street	New York	NY
Clement Manufacturing Company		Northampton	MA
Clifton Manufacturing Company		Clifton	SC
Climax Road Machine Company		Marathon	NY
Clipper Lawn Mower Company		Dixon	IL
Cluett Peabody & Company		Troy	NY
Clum & Atkinson	575 Lyell avenue	Rochester	NY
Clyde Iron Works		Duluth	MN
Cochran Chair Company		Cochran	IN
Cochrane Chemical Company	55 Kilby street	Boston	MA
Coe Brass Manufacturing Company		Torrington	CT
Coes Wrench Company	1 Coes square	Worcester	MA
Cole Manufacturing Company	3218 South Western avenue	Chicago	IL
Collins & Company	212 Water street	New York	NY
Collins Darrah & Company		Nebraska	PA
Collins Plow Company	Twelfth and Hampshire streets	Quincy	IL
Colorado Iron Works Company		Denver	CO
Colt's Patent Fire Arms Manufacturing Company		Hartford	CT
Columbia Box Company	Nineteenth and North Market streets	St Louis	MO
Columbia Can Company	128 Madison street	St Louis	MO
Columbia Hosiery Company	1955 Park avenue	New York	NY
Columbia Tool Steel Company	1401 Schiller building	Chicago	IL
Columbus Manufacturing Company		Columbus	GA
Combined Locks Paper Company		Appleton	WI
Commercial Electric Company		Indianapolis	IN
Commercial Envelope and Box Company		Binghamton	NY
Commonwealth Steel Company	Bank of Commerce building	St Louis	MO
Comptograph Company	146-156 Blackhawk street	Chicago	IL
Concord Axle Company	Penacook Station	Concord	NH
Conroy Prugh & Company	1430 Western avenue	Allegheny	PA
Consolidated Dental Manufacturing Company	130 Washington place	New York	NY
Consolidated Pipe Company		Los Angeles	CA
Consolidated Rubber Tire Company	39 Pine street	New York	NY
Continental Gin Company Inc		Birmingham	AL
Continental Stove Company	Hermitage road and Leigh street	Richmond	VA
Cooper Wells & Company		St Joseph	MI
Corbin Cabinet Lock Company		New Britain	CT
Corning Glass Works		Corning	NY
Corona Kid Company	95 South street	Boston	MA
Corwin Manufacturing Company		Peabody	MA
Courier Journal Job Printing Company	334-338 West Green street	Louisville	KY
Covert Manufacturing Company		Troy	NY
Crafts Harrington & Company	97 Belmont street	Brockton	MA
Crandal Stone & Company	336 Court street	Binghamton	NY
Crane & MacMahon	8 Bridge street	New York	NY
Cream of Wheat Company		Minneapolis	MN
Crew Levick Company	113 Arch street	Philadelphia	PA
Crocker Chair Company		Sheboygan	WI
Cumberland Glass Company		Fairmount	WV
Cumberland Glass Manufacturing Company		Bridgeton	NJ
Cumberland Telephone and Telegraph Company		Nashville	TN
Curtice Brothers Company		Rochester	NY
Curtis & Company Manufacturing Company	Wellston Post Office	St Louis	MO
Curtis & Jones Company	724 North Eighth street	Reading	PA
Curtis & Marble Machine Company		Worcester	MA
Cutler Jewelry Company	7 Eddy street	Providence	RI
Cyrus Borgner Company	Twenty-third street above Race street	Philadelphia	PA
Cyrus Currier & Sons	365 Market street	Newark	NJ
D. E. Loewe & Company		Danbury	CT
D. Eddy & Sons Company	336 Adams street	Boston	MA
D. G. Dery		Catasauqua	PA
D. Lovejoy & Son		Lowell	MA
D. M. Sechler Carriage Company		Moline	IL
D. M. Steward Manufacturing Company		Chattanooga	TN
D. O. Cunningham Gians Company	Twenty-second and Jane streets	Pittsburg	PA
D. WV Alderman & Sons Company		Alcoln	SC
Damascus Bronze Company		Pittsburg	PA
Dana Warp Mills		Westbrook	ME
Davenport Pearl Button Company		Davenport	IA
David Adler & Sons Clothing Company	East Water and Huron streets	Milwaukee	WI
David Bradley Manufacturing Company		Bradley	IL
David Lupton's Sons Company	Allegheny avenue and Tulip street	Philadelphia	PA
David Woerner Cooperage Company	Fourteenth and Harrison streets	San Francisco	CA
Davidson Rubber Company	Caldwell street	Boston	MA
Davis	Medary & Plata Company Ltd	La Crosse	WI
Davis Brothers Rolling Mill and Spike Works	Twenty-ninth and Bristol streets	Philadelphia	PA
Davol Rubber Company	69 Point street	Providence	RI
De La Vergne Machine Company	Foot of East One Hundred and Thirty-eighth street	New York	NY
Dean Bros. Steam Pump Works	Tenth street and Senate avenue	Indianapolis	IN
Deere & Company		Moline	IL
Deere & Mansur Company		Moline	IL
Deere & Webber Company	800 Washington avenue North	Minneapolis	MN
Deering Milliken & Company	79 Leonard street	New York	NY
Delany & Company	209 North Third street	Philadelphia	PA
DeLoach Mill Manufacturing Company	400 Highland avenue	Atlanta	GA
Dempster & Place		Gloversville	NY
Denver Sewer Pipe and Clay Company	611 Continental building	Denver	CO
Derby Desk Company		Somerville	MA
Detroit Copper and Brass Rolling Mills	McKinstry avenue	Detroit	MI
Detroit Oak Belting Company	266 Wight street	Detroit	MI
Detroit Screw Works	Riopelle and Franklin streets	Detroit	MI
Detroit Shipbuilding Company	Foot of Orleans street	Detroit	MI
Dexter Lambert & Company		Paterson	NJ
Diamond Machine Company	9 Codding street	Providence	RI
Diamond Mills Paper Company	44 Murray street	New York	NY
Diamond Saw and Stamping Works	357-361 Seventh street	Buffalo	NY
Dill & Collins Company	827 Filbert street	Philadelphia	PA
Dilworth Porter & Company Ltd	German National Bank building	Pittsburg	PA
Divine Brothers Company		Utica	NY
Dodge & Olcott Company	87 Fulton street and 88 Ann street	New York	NY
Dodge Manufacturing Company		Mishawaka	IN
Dodge-Davis Manufacturing Company		Bristol	NH
Dodson-Braun Manufacturing Company	Third and Cedar streets	St Louis	MO
Doernbecher Manufacturing Company		Portland	OR
Doubleday Page & Company	133-137 East Sixteenth street	New York	NY
Doubleday-Hill Electric Company	919 Liberty avenue	Pittsburg	PA
Dr. D. Jayne & Son	242 Chestnut street	Philadelphia	PA
Dr. Kilmer & Company		Binghamton	NY
Draper Company		Hopedale	MA
Ducker Company	277 Broadway	New York	NY
Dugan & Hudson Company	corner Plymouth avenue North and Allen street	Rochester	NY
Duncan Electric Manufacturing Company		Lafayette	IN
Duncan Foundry and Machine Works	Fifth Sixth and Plaza streets	Alton	IL
Dungan Hood & Company Inc	2100 North American street	Philadelphia	PA
Dunham Corrigan & Hayden Company	17 to 23 Beale street	San Francisco	CA
Dunn & McCarthy		Auburn	NY
Duquesne Reduction Company		Pittsburg	PA
Durand & Company	49 Franklin street	Newark	NJ
Dutchess Tool Company		Fishkill-on-Hudson	NY
E. & T. Fairbanks & Company		St Johnsbury	VT
E. B. Badger & Sons Company	63-69 Pitts street	Boston	MA
E. C. Atkins & Company Inc	402 South Illinois street	Indianapolis	IN
E. C. Fuller Company. 28 Reade street		New York	NY
E. C. Hazard & Company	117 Hudson street	New York	NY
E. G. Swartz Company	Limited	Swartz	LA
E. J. Codd Company	700 South Caroline street	Baltimore	MD
E. L. Spencer Company Inc		Providence	RI
E. N. Rowell Company		Batavia	NY
E. P. Reed & Company	179 St Paul street	Rochester	NY
